Pincode,Pickup,Delivery,city,state,Oda Charge BucketName,Oda Charge BucketValue,Opa Extra Tat,Oda Extra Tat
517130,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517131,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
517132,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517152,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
517167,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
517172,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
517192,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
517193,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
517194,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
517213,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517214,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
517234,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517235,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517236,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517237,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517247,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517257,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517277,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517280,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517291,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517297,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517299,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517305,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517319,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517325,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517326,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517350,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517351,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517352,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517370,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517390,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517391,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517401,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517403,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517408,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517414,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517415,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517416,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517417,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517418,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517419,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517421,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517422,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517423,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517424,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517425,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517426,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517429,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517432,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517501,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,XX-XX,0,0,0
517502,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,XX-XX,0,0,0
517503,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,XX-XX,0,0,0
517504,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
517505,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,XX-XX,0,0,0
517506,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,XX-XX,0,0,3
517507,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,XX-XX,0,0,0
517520,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,XX-XX,0,0,0
517526,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,XX-XX,0,0,0
517536,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
517541,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
517551,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,XX-XX,0,0,0
517561,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,XX-XX,0,0,0
517569,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
517571,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
517581,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
517582,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
517583,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
517584,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
517586,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
517587,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
517588,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
517589,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
517590,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
517591,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
517592,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
517599,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
517619,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
517620,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
517640,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
517641,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
517642,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
517643,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
517644,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
517645,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
517646,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,XX-XX,0,0,0
533001,ACTIVE ,ACTIVE ,EAST GODAVARI,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
533002,INACTIVE ,ACTIVE ,EAST GODAVARI,ANDHRA PRADESH,Rivigo Extension 1 ,3,0,3
533003,INACTIVE ,ACTIVE ,EAST GODAVARI,ANDHRA PRADESH,Rivigo Extension 1 ,3,0,3
533004,INACTIVE ,ACTIVE ,EAST GODAVARI,ANDHRA PRADESH,Rivigo Extension 1 ,3,0,3
533005,INACTIVE ,ACTIVE ,EAST GODAVARI,ANDHRA PRADESH,Rivigo Extension 1 ,3,0,3
533006,INACTIVE ,ACTIVE ,EAST GODAVARI,ANDHRA PRADESH,Rivigo Extension 1 ,3,0,3
533007,INACTIVE ,ACTIVE ,EAST GODAVARI,ANDHRA PRADESH,Rivigo Extension 1 ,3,0,3
533016,INACTIVE ,ACTIVE ,EAST GODAVARI,ANDHRA PRADESH,Rivigo Extension 1 ,3,0,3
